site;site_code;plot;date;cover_heather_%;cover_shrubs_%;cover_trees_%;cover_herbs_%;cover_gramniods_%;cover_moss_%;cover_rock_%;vegetationless_cover_%;feces_present_%;Vaccinium myrtillus_%;Vaccinium uliginosum_%;Erica tetralix_%;Empetrum nigrum_%;Arctostaphylos uva-ursi_%;Erica cinerea_%;Calluna_vulgaris_%;Vaccinium_vitis_idaea_%;Juniperus_communis_%;Salix_repens_%;Pinus_%;Sorbus_aucuparia_%;Succisa_prantensis_%;Hieracium_%;Epilobium_%;Cornus_suecica_%;Narthecium_ossifragum_%;Potentilla_erecta_%;Lotus_corniculatus_%;Polytrichum_%;Sphagnum_%;other_moss_%;lichens_%;ferns_%;drosera_%;Tree_cover_1km_%;state
lerøysundet;L;9;25/08/2022;45;0;0;0;10;45;0;0;0;0;15;20;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0,38;overgrown
lerøysundet;L;10;25/08/2022;60;0;0;15;25;0;0;0;0;0;15;0;15;0;0;25;5;0;0;0;0;0;0;0;10;0;5;0;0;0;0;0;0;0;0,38;overgrown
syltneset;S;1;25/08/2022;80;0;0;0;0;20;0;0;0;0;70;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0,32;overgrown
syltneset;S;2;25/08/2022;40;60;0;0;0;0;0;0;0;0;0;0;10;0;0;0;30;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,32;overgrown
syltneset;S;3;25/08/2022;70;10;0;0;0;20;0;0;0;0;45;0;15;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0,32;overgrown
syltneset;S;4;25/08/2022;45;40;0;10;5;0;0;0;0;0;20;5;0;0;0;15;5;40;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0,32;overgrown
syltneset;S;5;25/08/2022;65;15;0;5;10;0;0;0;0;0;40;0;10;0;0;10;5;15;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0,32;overgrown
syltneset;S;6;25/08/2022;60;40;0;0;0;0;0;0;0;0;45;0;0;0;0;15;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,32;overgrown
syltneset;S;7;25/08/2022;90;10;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,32;overgrown
syltneset;S;8;25/08/2022;5;65;0;0;0;30;0;0;0;0;0;0;0;0;0;0;5;65;0;0;0;0;0;0;0;0;0;0;30;0;15;0;0;0;0,32;overgrown
syltneset;S;9;25/08/2022;70;0;0;0;30;0;0;0;0;0;30;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,32;overgrown
syltneset;S;10;25/08/2022;80;0;0;10;10;0;0;0;0;0;0;10;10;0;0;50;10;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0,32;overgrown
utkilen;U;1;01/09/2022;70;0;0;5;15;10;0;0;0;0;0;10;0;0;0;55;5;0;0;0;0;0;0;0;0;0;5;0;5;0;5;0;0;0;0,37;overgrown
utkilen;U;2;01/09/2022;45;10;0;5;20;20;0;0;0;0;0;10;0;0;0;30;5;10;0;0;0;0;0;0;0;0;5;0;20;0;0;0;0;0;0,37;overgrown
utkilen;U;3;01/09/2022;50;0;10;5;0;35;0;0;0;0;10;10;0;0;0;20;10;0;0;10;0;0;0;0;0;0;5;0;0;20;15;0;0;0;0,37;overgrown
utkilen;U;4;01/09/2022;20;0;0;5;5;70;0;0;0;0;10;5;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;60;10;0;0;0;0;0,37;overgrown
utkilen;U;5;01/09/2022;25;0;10;10;10;45;0;0;0;0;5;15;0;0;0;5;0;0;0;10;0;0;0;0;0;10;0;0;0;30;15;0;0;0;0,37;overgrown
utkilen;U;6;01/09/2022;50;0;0;0;20;30;0;0;0;0;10;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0,37;overgrown
utkilen;U;7;01/09/2022;40;0;15;0;10;35;0;0;0;0;40;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;35;0;0;0;0;0;0,37;overgrown
utkilen;U;8;01/09/2022;50;0;5;0;15;30;0;0;0;0;5;10;5;0;0;25;5;0;0;5;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0,37;overgrown
utkilen;U;9;01/09/2022;20;0;0;25;15;35;0;0;0;0;0;15;0;0;0;5;0;0;0;0;0;0;0;0;0;25;0;0;0;35;0;0;0;5;0,37;overgrown
utkilen;U;10;01/09/2022;65;0;0;0;15;20;0;0;0;0;0;5;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0,37;overgrown
krossøy;K;1;31/08/2022;45;5;5;15;10;20;5;0;1;0;10;5;0;0;0;25;5;0;5;0;5;0;5;0;0;0;10;0;0;10;10;0;0;0;0,1;open
krossøy;K;2;31/08/2022;35;0;0;5;20;40;5;0;0;0;0;15;0;0;0;20;0;0;0;0;0;0;0;0;0;0;5;0;0;40;0;0;0;0;0,1;open
krossøy;K;3;31/08/2022;35;0;0;5;20;40;0;0;0;0;0;25;0;0;0;10;0;0;0;0;0;0;0;0;0;0;5;0;0;40;0;0;0;0;0,1;open
krossøy;K;4;31/08/2022;85;5;0;5;5;0;0;0;0;0;0;5;0;0;0;80;0;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0,1;open
krossøy;K;5;31/08/2022;5;0;0;5;15;75;5;10;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;15;0;75;0;0;0;0;0,1;open
krossøy;K;6;31/08/2022;60;5;0;5;10;15;0;0;0;0;0;5;0;0;5;50;0;5;0;0;0;0;0;0;0;0;5;10;0;0;15;5;0;0;0,1;open
krossøy;K;7;31/08/2022;25;30;0;5;20;20;5;5;0;0;0;10;0;0;0;15;0;25;5;0;0;0;0;0;0;0;5;20;0;15;5;0;0;0;0,1;open
krossøy;K;8;31/08/2022;45;25;0;0;10;20;0;0;0;0;5;20;0;0;0;20;0;25;0;0;0;0;0;0;0;0;0;10;0;20;0;0;0;0;0,1;open
krossøy;K;9;31/08/2022;50;10;0;0;15;25;0;0;0;0;0;10;5;0;0;30;5;5;5;0;0;0;0;0;0;0;0;15;0;25;0;0;0;0;0,1;open
krossøy;K;10;31/08/2022;40;0;0;5;10;45;0;0;0;0;5;5;5;0;0;25;0;0;0;0;0;0;0;0;0;0;5;10;0;45;0;0;0;0;0,1;open
